#{"t_start": 1758042302.9097269, "env_id": "None"}
r,l,t
-88.968753,204,402.449372
-175.850135,177,402.663899
-193.53577,204,402.907192
-208.999615,197,403.154981
-180.538137,145,403.336153
-52.766777,176,403.55751
-156.277513,176,403.771133
-27.56038,159,403.964543
28.695303,195,404.198323
-217.730219,234,404.477287
226.936208,323,404.868024
-109.31403,207,405.117777
-185.687415,199,405.354436
-77.116207,176,405.565505
17.710271,228,405.836066
248.187399,331,406.234018
-80.815298,205,406.480087
-32.158647,209,406.733215
-225.059402,369,407.17911
-30.463334,234,407.460712
-143.384013,218,407.724636
-13.715531,241,408.012679
-171.834022,186,408.232216
-89.69152,120,408.37772
-213.555616,244,408.674612
-244.918732,234,408.958256
-174.04685,231,409.233032
-253.703967,164,409.427811
-194.01788,201,409.667068
-51.597791,173,409.866776
-167.010575,210,410.114825
36.803356,311,410.487148
-53.309944,265,410.800449
-269.165719,454,411.333902
-62.937651,175,411.546593
-153.10347,172,411.754502
-228.468404,222,412.025059
-188.072578,167,412.22405
-6.860376,227,412.505549
-54.165919,256,412.833666
-189.701147,265,413.395469
253.325516,817,413.887496
-44.785587,188,413.999777
-211.76192,198,414.112361
-31.056188,184,414.217739
-206.675177,286,414.56038
-43.898788,222,414.832571
-195.763535,240,415.122082
-152.878575,147,415.296211
-179.344276,187,415.519591
-12.269524,226,415.783102
-229.213945,188,416.005309
-245.579093,239,416.29027
-13.039213,230,416.561544
-22.696417,286,416.888283
-74.29448,203,417.123467
-32.630614,171,417.329657
-53.5666,253,417.633218
-214.585968,189,417.872565
7.335302,154,418.060583
-217.542413,248,418.353695
-50.43852,266,418.668531
17.467615,193,418.896938
-72.658536,187,419.117023
-9.069592,226,419.383328
-71.980853,352,419.801068
-179.5133,167,419.998294
0.653138,276,420.326805
-102.915163,377,420.77213
-148.578067,168,420.975162
-1.363973,182,421.191849
-56.551953,185,421.411601
-199.079698,218,421.667898
-84.871034,220,421.925124
-93.668534,236,422.205107
-56.280474,209,422.452633
18.815154,178,422.660033
-173.216293,260,422.96496
-250.336258,220,423.22513
-243.757669,296,423.580153
-83.936408,217,423.833383
-96.070801,237,424.109096
-97.39834,168,424.309603
249.962384,339,424.714796
-186.49448,186,424.932406
-174.669798,197,425.173486
-71.361237,222,425.437761
-172.018463,240,425.728055
-65.46082,211,426.221391
-170.848606,215,426.35275
-158.790775,198,426.466602
-55.400542,190,426.577817
-223.721792,209,426.697834
